latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Mytilopsis leucophaeata;;;;;;;;;;;;;;X;;;X;;;X;;;;;;;;;;;;;
Mytilus edulis;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Mytilus trossulus;;;;;;X;;X;X;;X;X;X;X;;;X;X;X;;;;;;;;X;;;;;;
Myxas glutinosa;;;;;;;;;;;;;;;;;X;X;X;;;;;;;;;X;;;;X;
Myxicola infundibulum;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myxilla (Myxilla) incrustans;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nais barbata;;;;;;;;;;;;;;;;X;X;;X;;;;;;;;;X;;;;X;
Nais behningi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Nais bretscheri;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Nais christinae;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Nais communis;;;;;;;;;X;;;;;;;;X;X;;;;;;;;;;;;;;X;
Nais elinguis;;;X;;X;X;X;X;X;;;;;;;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;;
Nais pardalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Nais pseudobtusa;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Nais simplex;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;X;
Nais variabilis;;;;;;X;;;X;;;;;;;;X;X;;;;X;;;X;;;;X;X;;;
Nanocladius balticus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Nassarius incrassatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nassarius nitidus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nassarius pygmaeus;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nassarius reticulatus;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Natatolana borealis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Natica intermedia;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nebalia bipes;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Necora puber;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemertesia antennina;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemertesia ramosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemotaulius punctatolineatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Neoamphitrite affinis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neoamphitrite figulus;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Neohela monstrosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neoleanira tetragona;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neomysis integer;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Nepa cinerea;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;;X;;;;X;
Nephasoma (Nephasoma) abyssorum abyssorum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephasoma (Nephasoma) minutum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephrops norvegicus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephrotoma flavescens;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Nephtys assimilis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Nephtys caeca;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Nephtys ciliata;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;;X;X;;X;;;;;;;
Nephtys cirrosa;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephtys hombergii;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;;X;;;;;;;
Nephtys hystricis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephtys incisa;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Nephtys kersivalensis;X;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephtys longosetosa;X;X;X;;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Nephtys paradoxa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nephtys pente;X;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;
Neptunea antiqua;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Nereimyra punctata;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Nereiphylla lutea;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nereis pelagica;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Nereis pinnata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nerilla antennata;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Neureclipsis bimaculata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Nicolea venustula;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicolea zostericola;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Nicomache (Loxochona) trispinata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicomache (Nicomache) minor;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicomache lumbricalis;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicomache personata;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Nigrobaetis niger;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Nipponnemertes pulchra ;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nolella dilatata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noterus clavicornis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Noterus crassicornis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Notomastus latericeus;X;X;X;;X;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Notonecta glauca;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
Notophyllum foliosum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novocrania anomala;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nucula nitidosa;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nucula nucleus;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Nucula sulcata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nuculana minuta;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nuculana pernula;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nymphon brevirostre;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
Nymphon brevitarse;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nymphon grossipes;;;;;X;X;;X;X;;;;;;;;;;;;;;;X;;;;;;;;;
Obelia geniculata;X;X;;;;X;;;;;;;;;;;;;;;X;X;;X;;;;;;;;;
Obelia longissima;X;X;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;
Obesogammarus crassus;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;X;;;;X;
Ochthebius pusillus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Ocnus lacteus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Odostomia scalaris;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;X;X;X;X;X;;;X;;;;
Oecetis furva;;;;;;;;;;;;X;X;X;;X;X;;X;;;;;;;;;;;;;;
Oecetis lacustris;;;;;;;;;;;;;X;X;X;X;X;;;X;;;;;;;;X;;;;;
Oecetis ochracea;;;X;X;;;X;;;;;X;X;X;;X;X;;X;;;;;;;;;X;;;;;
Oenopota reticulata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oerstedia laminariae;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oerstedia similiformis;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Omalogyra atomus;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Omisus caledonicus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Onchidoris depressa;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Onchidoris muricata;X;;X;X;X;X;X;;X;;;;;;;;;;;;;;;X;;;;;;;;;
Onchnesoma squamatum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onchnesoma steenstrupii steenstrupii;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oncousoecia dilatans;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ondina divisa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ondina perezi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onoba aculeus;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onoba semicostata;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Opercularella lacerata;X;X;;X;X;X;X;;;;;;;;;;;;;X;X;;;;X;;;;;;;;
Opercularella pumila;;;;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
Ophelia borealis;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophelia limacina;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Ophelia rathkei;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Ophelina abranchiata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophelina acuminata;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophelina modesta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiactis balli;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophidonais serpentina;;;;;;;;;X;;;;;;;X;X;X;;;;;;;;;;;;;X;;
Ophiocomina nigra;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiocten affinis;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiodromus flexuosus;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiopholis aculeata;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiothrix fragilis;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiura albida;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Ophiura ophiura;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiura robusta;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophiura sarsii;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophryotrocha gracilis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ophryotrocha longidentata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orbinia (Orbinia) sertulata;X;X;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Orbinia (Phylo) norvegica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orchestia cavimana;;;;;;;;;;X;X;;;;;;;;;X;X;;;;;;X;X;;;;;
Orchestia gammarellus;;X;;;;;;;;;;;;;;;;;;;X;;X;;;;;;X;;;;
Orchomenella nana;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orconectes limosus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;
Orthetrum cancellatum;;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;
Orthocladius consobrinus;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Orthocladius dentifer;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Orthocladius excavatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Orthocladius oblidens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Orthocladius obumbratus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Orthocladius olivaceus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Orthocladius rhyacobius;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Orthocladius saxicola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Orthotrichia costalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Othomaera othonis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otomesostoma auditivum;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;;;;;;
Oulimnius tuberculatus;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;
Owenia fusiformis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pachycordyle navis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pacifastacus leniusculus;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Pagastiella orophila;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;
Pagurus bernhardus;X;X;;X;X;X;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Pagurus cuanensis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pagurus pubescens;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palaemon adspersus;X;X;X;X;X;X;X;X;X;X;X;;X;;;;X;X;X;X;X;X;X;X;X;X;;;X;X;X;;
Palaemon elegans;X;X;X;;X;X;X;X;X;X;X;;;;;;X;X;X;X;X;X;;;;;X;X;X;X;X;X;
Palaemon longirostris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
Palaemon serratus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palaemonetes varians;;;;;;X;X;;;;;;;;;;;X;;X;X;;;;;;;X;X;X;X;;
Palio dubia;;;;;X;;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;
Palio nothus;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pallasea quadrispinosa;;;;;;;;;X;X;X;;;;;X;X;;;;;;;;;;;;;;;;
Palliolum furtivum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palliolum striatum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palliolum tigerinum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmiskenea skenei;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paludicella articulata;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
Pandalina brevirostris;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pandalus borealis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pandalus montagui;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Panningia hyndmanni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Panthalis oerstedi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parachironomus arcuatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;
Parachironomus biannulatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Parachironomus gracilior ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Parachironomus pararostratus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Parachironomus vitiosus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paracladopelma camptolabis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paracladopelma nigritula;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;
Paracorixa concinna;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Paradialychone filicaudata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paradoneis eliasoni;X;X;X;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Paradoneis lyra;X;X;;X;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Paraedwardsia arenaria;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parajassa pelagica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parakiefferiella bathophila;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Paralauterborniella nigrohalterale;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;
Parametriocnemus boreoalpinus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paramonotus hamatus;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
Paramphilochoides intermedius;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paramphinome jeffreysii;X;;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Paramysis intermedia;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
Paramysis lacustris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Paranais botniensis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paranais frici;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;
Paranais litoralis;;X;;X;X;X;X;X;X;X;;;;;;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;
Paraonis fulgens;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Parapoynx stratiotata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Parasmittina trispinosa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paratanytarsus austriacus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paratanytarsus dissimilis;;;X;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paratanytarsus grimmii;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Paratanytarsus inopertus;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;;;
Paratanytarsus lauterborni;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Paratanytarsus natvigi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paratanytarsus quintuplex ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Paratendipes albimanus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Pariambus typicus;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Parorthocladius nudipennis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Parvicardium exiguum;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parvicardium hauniense;;X;;;X;X;X;;X;X;X;;X;;;;X;X;;;X;;;;;;;;X;X;;;
Parvicardium minimum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parvicardium pinnulatum;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;
Parvicardium scabrum;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Pasiphaea sivado;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pawlowskiella stenosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;X;
Peachia cylindrica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pecten maximus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pectinaria (Amphictene) auricoma;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pectinaria (Pectinaria) belgica;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Pedicellaster typicus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedicellina cernua;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peipsidrilus pusillus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Pelonaia corrugata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pelopia punctipennis;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;;;;;X;
Peloscolex ferox;;;;;;X;;;;;;;;X;;X;X;;X;;;;;;;;;X;;;X;;
Peloscolex multisetosus;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Pelseneeria stylifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peltodytes caesus;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;
Penetrantia concharum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pennatula phosphorea;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pentapedilum exectum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Perinereis cultrifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perioculodes longimanus;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Perrierella audouiniana;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pestarella tyrrhena;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petaloproctus borealis;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petaloproctus tenuis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petalosarsia declivis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petricolaria pholadiformis;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petta pusilla;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phaenopsectra flavipes;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Phaeostachys spinifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phascolion (Isomya) tuberculosum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phascolion (Phascolion) strombus;X;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Phaxas pellucidus;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Pherusa flabellata;;;;;;X;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Pherusa plumosa;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Philine aperta;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Philine scabra;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philocheras bispinosus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philocheras bispinosus bispinosus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philocheras echinulatus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Philocheras trispinosus;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pholoe assimilis;X;;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Pholoe baltica;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Pholoe inornata;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Pholoe minuta;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pholoe pallida;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoronis muelleri;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoronis pallida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Photis longicaudata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Photis reinhardi;X;X;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoxichilidium femoratum;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phoxocephalus holbolli;;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Phryganea bipunctata ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Phryganea grandis;;;;;;;;;;;;X;X;X;;X;X;;X;;;;;;;;;;;;;X;
Phtisica marina;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Phyllodoce (Anaitides) groenlandica;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Phyllodoce citrina;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phyllodoce laminosa;;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Phyllodoce lineata;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phyllodoce longipes;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phyllodoce maculata;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Phyllodoce mucosa;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;X;X;X;;X;;;;;;;
Phyllodoce rosea;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phylo norvegicus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Physa fontinalis;;;;;;;;;;X;X;;X;X;X;X;X;;X;X;;;;;X;;X;X;X;;X;X;
Piguetiella blanci ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Pinnotheres pisum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piscicola annae;;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;X;;
Piscicola borowieci;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;
Piscicola geometra;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;X;X;X;X;X;X;
Piscicola margaritae;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Piscicola pojmanskae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;
Piscicola pomorskii;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Piscicola wiktori;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
Pisidia longicornis;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Pisidium (Conventus) conventus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Pisidium amnicum;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;X;
Pisidium casertanum;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;X;;;X;X;
